gb1,gb0,lr1,lr0,svc1,svc0,bayes1,bayes0,tree1,tree0,cat1,cat0
0.3630998575858827,0.6369001424141173,0.4180807721854727,0.5819192278145273,0.5786015185217427,0.4213984814782572,0.5367366970079144,0.4632633029920856,0.54,0.46,0.4562376510250769,0.543762348974923
0.6819731262647347,0.3180268737352653,0.16483688385599604,0.835163116144004,0.8379652522189429,0.16203474778105714,0.8651887447895705,0.13481125521042922,0.73,0.27,0.5221088730164528,0.4778911269835472
0.41177969543880605,0.588220304561194,0.6073617690481026,0.39263823095189737,0.41696162418895466,0.5830383758110453,0.6384318467198765,0.3615681532801231,0.53,0.47,0.4774299450488129,0.5225700549511871
0.7784564095545775,0.2215435904454225,0.07815938658810762,0.9218406134118924,0.9312569305886558,0.06874306941134414,0.8740765865917332,0.1259234134082669,1.0,0.0,0.5221088730164528,0.4778911269835472
0.20450815277604525,0.7954918472239547,0.8614805981005956,0.1385194018994044,0.1549217994143184,0.8450782005856815,0.08905952776288288,0.9109404722371167,0.13,0.87,0.4562376510250769,0.543762348974923
0.2223632704275942,0.7776367295724058,0.6589910732835826,0.3410089267164173,0.33961856287284886,0.660381437127151,0.007077670931781166,0.9929223290682183,0.41,0.59,0.4562376510250769,0.543762348974923
0.7687289149678194,0.23127108503218063,0.33513831615744116,0.6648616838425588,0.6899790129479141,0.3100209870520859,0.43939490478651944,0.5606050952134797,0.75,0.25,0.5221088730164528,0.4778911269835472
0.46908073242752113,0.5309192675724789,0.6235042360977094,0.3764957639022906,0.37115400385077696,0.6288459961492229,0.705435871218562,0.294564128781438,0.43,0.57,0.5221088730164528,0.4778911269835472
0.27686202301950896,0.7231379769804911,0.8358756474572318,0.1641243525427683,0.15314031400462264,0.8468596859953774,0.20755298135214792,0.7924470186478518,0.4,0.6,0.4562376510250769,0.543762348974923
0.7184309905707399,0.2815690094292601,0.21407219309524161,0.7859278069047584,0.7847194063616609,0.21528059363833912,0.7476597040333242,0.25234029596667557,0.62,0.38,0.5221088730164528,0.4778911269835472
0.7554739735771957,0.2445260264228043,0.28108495127081756,0.7189150487291824,0.7041984337456141,0.29580156625438575,0.8740765865917332,0.1259234134082669,0.74,0.26,0.5221088730164528,0.4778911269835472
0.4643541985273386,0.5356458014726614,0.448182389858105,0.551817610141895,0.5854192404555739,0.4145807595444261,0.3875854245366856,0.6124145754633145,0.53,0.47,0.5221088730164528,0.4778911269835472
0.1479166150947486,0.8520833849052514,0.8960170976651458,0.10398290233485416,0.09384973304918429,0.9061502669508155,0.05678972225386458,0.9432102777461353,0.17,0.83,0.4562376510250769,0.543762348974923
0.14725133490387926,0.8527486650961207,0.727261387203016,0.2727386127969839,0.25129296881976915,0.748707031180231,0.2698497494710454,0.7301502505289543,0.43,0.57,0.4562376510250769,0.543762348974923
0.19986224737922353,0.8001377526207765,0.700768860492845,0.29923113950715496,0.29874917210039736,0.7012508278996025,0.15579352627565898,0.844206473724341,0.46,0.54,0.4562376510250769,0.543762348974923
0.7389644382517597,0.2610355617482403,0.21198726774845122,0.7880127322515488,0.7872817498834079,0.2127182501165918,0.5111289433439565,0.48887105665604375,0.55,0.45,0.5221088730164528,0.4778911269835472
0.08416818538088858,0.9158318146191115,0.8342385678603036,0.16576143213969644,0.15984691787423702,0.8401530821257631,0.05273217855704404,0.9472678214429557,0.26,0.74,0.4562376510250769,0.543762348974923
0.16594815736457127,0.8340518426354288,0.8661460239576938,0.13385397604230617,0.11699081961038806,0.8830091803896121,0.2855771278819503,0.7144228721180499,0.21,0.79,0.4562376510250769,0.543762348974923
